id,name,place_type,gmina,powiat,wojewodztwo,lat,lon,country,source
26612,Pniewo-Kolonia,village,Zatory,pułtuski,mazowieckie,52.65833996310648,21.250834655617915,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26613,Pniewy,village,Gąsawa,żniński,kujawsko-pomorskie,52.80044122596089,17.8282794796941,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26614,Pniewy,city,Pniewy,szamotulski,wielkopolskie,52.50897768142145,16.256653760298022,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26615,Pniewy,village,Pniewy,grójecki,mazowieckie,51.9094404558208,20.738221669032,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26616,Pniowe,village,Puszcza Mariańska,żyrardowski,mazowieckie,52.00802800794676,20.40512058385576,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26617,Pniów,village,Toszek,gliwicki,śląskie,50.4285450851223,18.5999836208107,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26618,Pniów,village,Radomyśl nad Sanem,stalowowolski,podkarpackie,50.718395781194,21.883549166012,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26619,Pniów,village,Torzym,sulęciński,lubuskie,52.3269217659241,15.014076324476497,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26620,Pniów,village,Myślibórz,myśliborski,zachodniopomorskie,52.9035851674779,14.7547363373935,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26621,Pniówek,village,Zamość,zamojski,lubelskie,50.67807121412271,23.29347951933568,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26622,Pniówek,village,Pawłowice,pszczyński,śląskie,49.964609883836,18.672622330274,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26623,Pniówno,village,Wierzbica,chełmski,lubelskie,51.24427369019197,23.338897871397123,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26624,Pobiedna,village,Leśna,lubański,dolnośląskie,50.9376557131706,15.2961622268937,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26625,Pobiedna,village,Nowe Miasto nad Pilicą,grójecki,mazowieckie,51.61833333,20.59638889,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
26626,Pobiednik Mały,village,Igołomia-Wawrzeńczyce,krakowski,małopolskie,50.07068834443917,20.20968319806103,Polska,PRNG via mbroton/polish-geonames v0.3.0; valid_as_of=2025-01-01; license=CC-BY-4.0
