domain,mean,median,std_between_students,n_questions
Python / programowanie,3.93,4.0,0.7621242243449118,8
NumPy / pandas / wizualizacja,2.9371428571428573,3.0,1.200255074931141,7
SQL / relacyjne bazy,4.39,4.5,0.5910795208768445,4
Matematyka i statystyka,3.9266666666666663,4.166666666666667,0.7478054312205569,12
ML podstawy + sprawność algorytmiczna,3.2690909090909095,3.272727272727273,1.0452832534245478,11
"Praca, preferencje i feedback",3.569494949494949,3.6818181818181817,0.25512250208936804,22
